ScoreFMM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR
1200,12,5,0.230438,1.084892,0.230438,4,0.1923,236
1201,12,5,0.099798,2.505061,0.099798,2,6.8038,481
1202,12,1,0.001051,0.929442,0.001051,1,0.0692,506
1203,12,1,0.001128,0.865953,0.001128,1,0.0769,83
1204,12,5,0.07618,3.281693,0.07618,4,0.0654,5
1207,12,7,1.422012,2.812916,1.422012,4,7.4038,775
1208,12,1,0.000247,3.957425,0.000247,0,2.2269,171
1209,12,1,0.000288,3.385943,0.000288,2,2.2269,171
1210,12,1,0.000959,1.018117,0.000959,1,0.0692,506
1211,12,3,0.024299,0.643021,0.024299,3,0.075,95
1212,12,2,0.001684,2.320055,0.001684,2,0.075,95
1213,12,1,0.000453,2.155061,0.000453,1,0.075,95
1214,12,3,0.031913,0.489619,0.031913,0,0.0712,291
1215,12,4,0.086489,0.722639,0.086489,0,0.0712,291
1216,12,2,0.003751,1.041395,0.003751,1,0.0712,291
1221,12,2,0.002047,1.908113,0.002047,2,1.2115,132
1222,12,7,2.160803,1.851164,2.160803,2,1.2115,132
1223,12,3,0.018266,0.855435,0.018266,1,7.4038,775
1224,12,1,0.000419,2.333035,0.000419,2,2.2058,144
1225,12,1,0.000672,1.452532,0.000672,1,0.0692,506
1226,12,6,0.521303,1.918269,0.521303,5,0.075,95
1227,12,3,0.021287,0.734021,0.021287,3,0.0712,291
1229,12,2,0.002475,1.578044,0.002475,3,1.2423,70
1230,12,1,0.000315,3.097576,0.000315,1,0.0269,60
1231,12,1,0.000963,1.014097,0.000963,1,0.0269,60
1232,12,2,0.006906,0.565601,0.006906,2,0,0
1233,12,1,0.000968,1.008611,0.000968,0,0.0288,80
1234,12,1,0.00211,0.4628,0.00211,0,0.0288,80
1235,12,1,0.003215,0.303758,0.003215,2,0.0692,506
1236,12,5,0.187896,1.330526,0.187896,2,0.0692,506
1237,12,1,0.000664,1.470249,0.000664,1,0.0712,291
1242,12,2,0.002829,1.381024,0.002829,2,0.0269,60
1243,12,1,0.000561,1.741851,0.000561,1,0.0269,60
1244,12,1,0.000964,1.01339,0.000964,1,0.4962,202
1245,12,5,0.340978,0.733185,0.340978,0,4.6788,383
1246,12,1,0.000862,1.133216,0.000862,1,0.0692,506
1247,12,4,0.052881,1.181891,0.052881,1,0.0692,506
1248,12,2,0.003632,1.075645,0.003632,4,0.0692,506
1249,12,4,0.045461,1.374803,0.045461,4,0.3962,265
1250,12,4,0.060765,1.028556,0.060765,1,0.0712,291
1252,12,2,0.002064,1.89246,0.002064,1,0.0827,12
1253,12,4,0.057475,1.087438,0.057475,1,5.5327,266
1254,12,1,0.000349,2.796921,0.000349,1,0.0269,60
1255,12,1,0.000573,1.703538,0.000573,1,0,0
1256,12,5,0.196004,1.275481,0.196004,3,0.4962,202
1257,12,3,0.009956,1.569387,0.009956,3,0.0038,26
1258,12,5,0.185331,1.348935,0.185331,5,5.6538,467
