scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
338,11,1,0.001349,1.448006,0.001349,3,74.808341,74.808341,1.448006,51.663022
339,11,1,0.000784,2.49199,0.000784,3,126.090137,126.090137,2.49199,50.598162
340,11,1,0.003014,0.647947,0.003014,1,0,0,0,0
341,11,1,0.000504,3.874735,0.000504,1,0,0,0,0
342,11,5,0.366523,1.364171,0.366523,2,8.513709,8.513709,1.364171,6.24094
343,10,4,0.168102,1.487191,0.168102,3,1.934932,1.934932,1.487191,1.301065
344,10,3,0.046846,1.334165,0.046846,3,4.211588,4.211588,1.334165,3.156721
345,10,1,0.003701,1.055422,0.003701,1,4.200342,4.200342,1.055422,3.979773
346,10,1,0.004525,0.863324,0.004525,1,4.200342,4.200342,0.863324,4.865313
347,10,5,0.708789,1.410857,0.708789,4,4.200342,4.200342,1.410857,2.977157
348,10,2,0.01449,1.078365,0.01449,2,0,0,0,0
349,10,4,0.211058,1.184506,0.211058,4,4.200342,4.200342,1.184506,3.54607
350,10,1,0.001704,2.292868,0.001704,1,0,0,0,0
351,11,3,0.01523,2.051841,0.01523,3,57.136614,57.136614,2.051841,27.846508
352,11,3,0.030551,1.022866,0.030551,1,57.085532,57.085532,1.022866,55.809373
353,11,1,0.000946,2.063757,0.000946,2,87.61272,87.61272,2.063757,42.453012
354,11,1,0.005947,0.328414,0.005947,1,0.860661,0.860661,0.328414,2.620657
355,11,1,0.002027,0.963399,0.002027,1,13.267149,13.267149,0.963399,13.771187
356,10,1,0.002222,1.75782,0.002222,0,34.028013,34.028013,1.75782,19.358079
357,10,1,0.003279,1.191267,0.003279,1,4.389806,4.389806,1.191267,3.684988
358,10,2,0.010484,1.490387,0.010484,2,4.200342,4.400341,1.490387,2.952482
359,10,1,0.002395,1.630759,0.002395,1,0.693492,0.693492,1.630759,0.425257
360,10,1,0.002715,1.438839,0.002715,1,14.619832,14.619832,1.438839,10.160857
361,11,1,0.000811,2.406883,0.000811,3,129.286861,129.286861,2.406883,53.715473
362,11,1,0.001464,1.333819,0.001464,1,8.571687,8.571687,1.333819,6.426422
363,11,3,0.050624,0.617299,0.050624,3,1.685566,1.686279,0.617299,2.731705
364,10,1,0.003821,1.022282,0.003821,1,0.160161,0.727998,1.022282,0.71213
365,9,1,0.005377,1.452981,0.005377,1,4.268335,11.246022,1.452981,7.739966
366,9,1,0.002587,3.020323,0.002587,1,4.69687,4.69687,3.020323,1.555089
367,10,1,0.001995,1.958321,0.001995,1,2.527225,2.527225,1.958321,1.290506
368,10,5,0.863305,1.158339,0.863305,6,0.993354,0.993354,1.158339,0.857567
369,10,3,0.028358,2.203963,0.028358,3,7.317629,7.317629,2.203963,3.320214
370,11,1,0.000861,2.26811,0.000861,1,0,0,0,0
371,11,7,11.158426,0.716947,11.15843,3,0.414677,1.174647,0.716947,1.638402
372,10,2,0.015441,1.011921,0.015441,2,0.178719,0.193344,1.011921,0.191066
373,10,6,3.586936,1.115158,3.586934,2,0.102217,0.292769,1.115158,0.262536
374,10,2,0.022502,0.694394,0.022502,1,1.792325,1.792325,0.694394,2.581135
